model_name,accuracy,precision,recall,f1_score
Logistic Regression,0.9033982051023495,0.8965857509374383,0.9127988748241913,0.9046196734368778
Linear SVM,0.898860542502773,0.8964485235434956,0.9027526622463331,0.8995895485033537
Multinomial Naive Bayes,0.8783906423313502,0.8710883684314111,0.8892907373920033,0.8800954464108173
